track_name,artist_name,artist_count,released_year,streams,bpm,key,mode,danceability_pct,valence_pct,energy_pct,acousticness_pct,instrumentalness_pct,liveness_pct,speechiness_pct
Dreamers,"BTS, Jung Kook, FIFA Sound",3,2022,323358833,115,,Major,71,34,88,16,0,44,4
TV,Billie Eilish,1,2022,338564981,141,E,Minor,41,9,25,84,1,14,4
I'm Not The Only One,Sam Smith,1,2014,1606986953,82,F,Major,68,50,49,56,0,8,4
Heather,Conan Gray,1,2020,1301799902,92,F,Major,47,25,43,62,0,32,3
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,1897517891,124,A,Minor,79,59,86,4,0,8,11
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,107642809,125,A#,Minor,71,83,89,1,0,17,9
Pink Venom,BLACKPINK,1,2022,551305895,90,,Major,80,71,69,2,0,27,10
WAIT FOR U,"Drake, Future, Tems",3,2022,556585270,83,C#,Major,46,34,64,31,0,7,34
Don't Start Now,Dua Lipa,1,2019,2303033973,124,B,Minor,79,68,79,1,0,10,8
After Dark,Mr.Kitty,1,2014,646886885,140,G#,Major,58,4,60,7,41,8,3
INDUSTRY BABY,"Jack Harlow, Lil Nas X",2,2021,1814349763,150,D#,Minor,74,89,70,2,0,5,6
MIDDLE OF THE NIGHT,Elley Duh�,1,2020,872137015,186,E,Minor,41,9,61,2,0,12,5
Atlantis,Seafret,1,2015,571386359,166,G#,Minor,40,23,48,5,0,12,3
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,304079786,107,,Major,87,20,83,0,4,31,9
How Do I Say Goodbye,Dean Lewis,1,2022,284785823,82,G#,Major,40,39,64,21,0,7,7
Blind,SZA,1,2022,163284000,114,A,Minor,46,60,28,91,0,21,4
Die For You,Joji,1,2022,246390068,148,G#,Major,47,15,52,38,13,29,5
Doja,Central Cee,1,2022,482257456,140,F#,Major,91,97,57,38,0,40,29
